Experiment	dd0-dd1 Aggregate Size Gradient	dd1-dd2 Aggregate Size Gradient	dd2-dd3 Aggregate Size Gradient	dd3-dd5 Aggregate Size Gradient	dd5-dd7 Aggregate Size Gradient
0	0.1112180926451095	0.15443277141464556	-0.21378000326782792	-0.05616167527223326	0.020929755413949966
1	0.27349309542741745	0.05739347367110493	-0.25458759845493173	0.39015663095176106	-0.21399947829942043
2	0.570669894429774	-0.1928387335056533	0.05365507562724934	0.25680428902908264	-0.1997231213747269
3	-0.03135417206379618	0.2521967622904707	-0.019306111525463875	-0.04380817490927488	0.49649376552866814
4	0.6036489266415314	-0.016008462691088587	0.2208304153300593	0.640537199300051	-0.24241567716386594
5	0.3198216830727956	0.19570686661080672	0.3194432339030846	3.2638933305683753	-0.550963051418063
6	0.3371951629407266	-0.14551128233353416	0.04391044641635083	0.5208852253019537	-0.12968834958011866
7	0.2915683563911502	-0.053373509326731114	0.2970812590877058	0.7367578643763033	0.15491730978012097
8	0.28174136600047167	-0.0006306266773564389	0.3424672460856717	0.05199396619460083	0.07092358057372898
9	0.25008431513689594	0.011208518428694117	0.02829578919987174	0.15784473484950592	-0.27891899346027643
10	0.337764328657027	-0.04182340135337872	0.20868756264500377	-0.007657318958130983	-0.21497540014311764
11	0.12006978719775603	0.19498479338842986	0.10633217366575282	0.013709336297841778	0.045932828745060314
12	0.17734372817559657	0.07062116605585493	0.21583133337841626	-0.0015832544710134534	0.10395480696242707
13	0.22027248992016557	0.04283199229062816	0.10987064509537385	0.06958459687576835	0.02931181437228709
14	0.11319104143915529	0.10388182296230822	0.05805552853877116	0.13235524878264246	-0.0003349536374277822
15	0.30224356261411056	0.010011932643696712	0.09164288755391481	0.33073123655089376	-0.10671767967381864
16	0.6070606332236625	0.15131395198655387	-0.10380011509189933	-0.06205542406649224	-0.17667569829487037
17	0.5828553901113984	0.37567782101079666	-0.03859466234305682	-0.20216678097937782	0.013034913479338188
18	0.6462021561975356	0.22486236504021204	0.10633217366575282	-0.18652137225014245	0.15657168788014972
19	0.1343114288735694	0.12589101385182888	-0.017753882499096044	0.07941360101768127	-0.0041441257354952925
20	0.19050633177624118	0.12247548215535836	-0.07146129034108842	0.30317485438025055	0.10562660779508526
21	0.12010210850265038	0.09999582646220571	-0.041778157419151744	0.18818958901812188	0.14956308851369057
22	0.23354052359250818	0.24586641452308353	-0.07594710132832898	0.17611209493215405	-0.007758366100251369
23	0.16740907533408386	0.010476749549247471	0.019003941818547962	-0.16532397635417168	0.3383096713340163
24	0.2505046715615342	0.13727351532316753	-0.10033563835880861	0.21907680708172186	0.0811863271161303
25	0.24110449819918778	-0.006882659928734408	0.1597825590834801	0.6510295370210434	-0.21398087253285616
26	0.12388425547659057	0.04921828959942202	0.17588096275850792	0.0398745893300869	-0.13714169633597428
27	0.16549773556311337	0.18989788150417805	0.0338691821507679	0.12975720071039232	-0.050042971682205464
28	0.38398537593894944	-0.13829055717997302	0.44770001120480546	0.17542513153879588	-0.28016945025724954
29	0.36903481547491024	-0.12221134685656249	0.40075431331992506	0.35164589427759074	-0.32323552877700273
30	0.27852294969454056	-0.014021172159148996	0.46394191493597203	0.07456943851384552	-0.11924620075942081
31	0.009369586114976384	0.5207739423544574	0.2798767139264371	-0.2212141487514748	0.19415251320334667
32	0.14251716780421578	-0.006966260206184245	0.33345098349471647	0.15660105420027884	-0.16145632594919673
