Experiment	DO gradient/cell count dd0	DO gradient/cell count dd1	DO gradient/cell count dd2	DO gradient/cell count dd3	DO gradient/cell count dd5	DO gradient/cell count dd7
0	2.1470355338769944	1.3849408061568313	-1.1308773620781207	-0.9770005078751539	-2.2746705190772154	-1.194612455999764
1	1.7321721917215134	0.3318883037262959	-0.8705585749210784	-0.271413984099392	-4.048580358727259	-1.5371325816504762
2	3.099714618694227	-3.163704164772223	1.9628444248723802	2.109208281701147	-6.056872961793046	-2.5644638027504705
3	0.9341028081574304	0.3813310459802395	-1.09982365660762	-0.9477629904467122	-13.569113528576809	-0.2539012864891224
4	0.4760724268767452	2.7253898017658074	-0.9747403681704578	-0.3796763414296706	0.8110696941073384	0.9391629116021747
5	-0.25682282237008786	-0.5819721532395098	-1.9230186920110621	1.2280795333532484	-17.333355888613443	-0.9261205318682796
6	-0.749664212136212	-0.1859098783886213	-0.9698860023897306	-1.8530545873358808	-2.679310885940339	-1.2911658844122853
7	-0.6367777236624029	-3.0050560365880856	-1.9699123822969475	-1.615653876543236	-11.445794812199802	-1.5690073518892589
8	-2.026925880459708	3.5909833123508395	-47.23818574612261	0.4565669628685513	0.013102849185045336	-0.012037916127984168
9	-0.1607899745264042	-0.7580931442941313	-0.6909608006084839	-0.5544791678608166	0.11763578033025772	-3.974282707147008
10	-0.2985519459767233	-0.7846884540869378	-0.9569700217605249	-0.6067803134291537	-5.718407920328747	-0.7259325581138648
11	0.3955216899283276	-0.5977200816702912	-0.6595480806596272	-0.6401550284391385	-0.7579248287175697	0.6252405583389482
12	0.5657534631343759	0.018188363742450243	-0.7443788122447046	-0.662534796251144	-0.2515704876280292	-0.2638651308503399
13	0.6047520252916151	-0.026293612279096372	-0.9925199812827932	-0.7367866978596398	-0.8594791221786253	-0.28345002065455077
14	0.07592361425898113	-0.08590913082614783	-0.7483677990306857	-0.4600028351277125	-1.082579027169674	0.04891920202124646
15	-5.6556716037348265	-4.998630417265293	0.5823457548656366	-0.31850642988731287	-1.5359295313641919	0.35863596596693753
16	-1.5777741399220386	-0.9900186903466881	5.888055309077893	-1.2727883105934121	1.3828227308432954	13.186779641093509
17	-1.1023556672590251	-0.7167820143833095	5.323817014418496	-1.2852104388475651	0.5307195689746593	5.616291238719214
18	-2.429283895876898	-1.219990757876141	4.82894815741322	-1.10526556773495	0.6869186662899304	11.1693895810155
19	-0.3562343955208398	-0.21919995947150073	-0.4740615886910291	-0.5120021508238866	-2.1325855448618607	0.8155550854645358
20	0.6039354142760334	-0.14486461957950938	-1.05846186624195	-0.729037141989678	-1.7549098740368128	0.1517779556106843
21	0.6379295131046797	-0.05937717980176711	-1.198535964005925	-0.8018602212526894	-3.212313545422382	-0.48581731081907664
22	0.4248129440429618	-0.16971179198680184	-1.0752497726651489	-0.5870837058127434	-1.0540871304215484	0.027094562131472006
23	-0.9164504533040687	-0.8312077652637814	-1.4245300127154295	-2.1221922767789865	-7.023125364813382	18.295179961961075
24	-0.4721258322879456	-0.8095832316329015	-1.4045188289688788	-1.1067787471579003	1.7712308602188456	0.044929996224708946
25	-0.06805972266553127	-0.18917420488488693	-1.8318450246486437	-1.3179361263485112	-1.766488335213552	-0.15096968090620289
26	0.1756309494752246	-0.515281660902976	-0.8972391148970221	-0.8188307197643334	3.7313213463941763	0.046438744431683374
27	0.1769024496432607	-0.4891070792721088	-0.892734642326397	-0.8204465186458768	-3.7688690405515146	0.035716515731010444
28	-2.0036628284061275	-2.6753675898379115	6.997222513308666	-3.81646724064123	-0.3794381644412684	0.4138086736725841
29	-0.04854571015047583	0.17321904927290935	0.32650831488392984	0.03818962304548455	-0.03492126918643723	0.08907958358138832
30	0.08319298795448268	0.047267842904409524	-0.34718010148042106	0.024355960714084853	-0.025852543892581365	0.10319617541124206
31	0.8294775519835007	-0.3319590266916672	-4.849184675244128	7.20303974733497	0.6979415517741635	-2.83400666641566
32	-0.6629120331950198	-0.9312952607558419	-1.0298872663758563	-0.6828516530150335	-1.0573081687291492	-0.010542776828515076
33	0.06353706403498918	0.0663217442849409	-0.4096423216153017	-0.32133274242134663	-0.6642304239159407	-0.2733601278971444
34	-0.051430342919828564	0.03267347401252527	-0.6636769805003407	-0.6821484845774399	-1.7715962242278078	-0.4029209434374243
35	0.2767072005445228	0.06778709117403008	-0.6103470456134094	-0.9159036734431741	-3.47714807842605	-7.231745156599412
36	-0.22560275169250554	-0.13647451826631427	-0.7914354062823523	-0.5430591043133153	-1.4126789603796082	0.5118239062386232
37	0.018581609705113297	-0.04820942082352778	-1.0681567686722016	-0.7407998179782423	-1.7228385151196066	0.09969669989325104
38	-0.09935949535094266	-0.4924275968364945	-0.5130700734736677	1.9379100550299826	-4.055682422407972	0.13297576772906872
39	-0.3341140293459864	-0.5349586077871136	-0.49460852126330107	-0.6467277770839286	-3.076833220513923	-1.1297736169240544
40	-0.9319888306062272	-0.5440787978065452	-0.8752874765262176	-0.3124140396976533	-9.940338490637139	-0.10454383697492951
41	-1.1195223155551062	-0.3197288229234408	-0.5962522142146511	-0.3812232243897184	-2.0278583194551616	-0.1162175921996586
42	-20.035110942046845	-25.60108147694783	5.143719648427465	-28.160476773085463	-0.34041541058366426	0.2160792776242977
43	-41.53660813583293	-21.636039210075253	-10.681811109120376	-46.33354796451414	-3.4761734786579552	-8.447119366005055
44	-18.406451481169647	-23.025414924389835	2.406591557161013	-24.7663443627911	-0.2063429079757052	0.00023722338244224598
45	-5.917496091608464	-8.191707602706332	-0.5486652181169758	-7.12302876836784	-2.011812313700443	-3.255002056679729
46	-4.4315434687079085	-5.76351177490301	2.191656202860134	0.5508064780400823	0.012346223774912997	-0.5162044585724285
47	-6.206495504681432	-6.9284206192341005	0.3387762166091747	-5.128640970322681	0.11104649488088326	-0.02857710072758
48	-12.975039894600934	-12.646743557548975	0.49327624962969957	-14.994980658964261	-6.1315388276818075	-4.806532622321855
49	-7.855658041542572	-10.278555437747052	1.3350796586185756	-10.065693694162036	-0.3859204433982646	-0.5331438837272522
50	-10.170765915291696	-9.210413422336842	-2.465603626282503	-5.959091538461568	-0.3759645197245025	-0.6228104692232512
51	-8.378496605979366	-9.350574235771278	-0.15879485976601207	-7.699739050978557	-1.5261962958931892	-1.8666504638374908
52	-6.006953893962952	-8.417732112112079	0.6109761299660932	-6.762382933052995	-0.512253715312298	-0.49727505464638855
53	-10.816898155993298	-14.226347453291886	0.4147411204487626	-13.158792796737085	-3.1087254291289836	-1.7977551249250554
54	-44.26416107757586	-49.41946422794961	2.940243189900581	-36.56646297628314	-10.971918082958618	-3.4295935561893
55	-6.799636391697534	-8.394630539185508	0.29464256024759683	-7.2060037811199935	-0.05818713495818913	-0.06189158004863188
56	-7.690781060882654	-8.063230749062313	0.767945556518597	-10.742262101999394	-2.8570107189686578	-2.523918366242707
57	-7.4771211184525415	-9.105603900774007	0.866313905532529	-7.957809727129514	-0.23881829885898465	-0.02135714365066263
58	0.02252977038656647	-0.024609096403852428	0.0002758588981772775	0.004496176063786177	0.018289191441106616	0.02272950165811203
59	-6.290566073202069	-4.189699085253555	1.3279576905485286	-4.187785809952212	-0.17843503505343117	0.022978545466253306
