Experiment	dd0-dd1 Cell Density Gradient	dd1-dd2 Cell Density Gradient	dd2-dd3 Cell Density Gradient	dd3-dd5 Cell Density Gradient	dd5-dd7 Cell Density Gradient
0	0.2137931034482759	0.19006960663464773	-0.04035406989764151	0.8109452736318411	-0.14439400569871957
1	0.3846153846153846	0.1900696066346477	0.2464256922987848	0.7490636704119851	-0.14439400569871963
2	0.02272727272727275	0.1900696066346477	-0.038338229911798936	0.611650485436893	-0.14439400569871957
3	0.36305732484076436	0.1900696066346479	-0.4620592675261992	0.5109489051094889	-0.14439400569871963
4	0.9756097560975612	0.19006960663464784	1.7781340024770247	-0.0029873039581777474	-0.37640449438202245
5	0.08474576271186449	0.1900696066346479	1.3843143158861584	-0.25110132158590304	0.014705882352941025
6	-0.3924050632911393	0.1900696066346479	1.8738981903424694	-0.14517766497461926	-0.42042755344418054
7	-0.7552742616033755	0.1900696066346477	4.128648141113172	-0.4011299435028248	-0.02358490566037748
8	-0.03787878787878791	0.7637795275590553	1.0267857142857142	-0.17621145374449335	-0.14439400569871955
9	-0.30578512396694213	0.5000000000000001	1.1984126984126984	-0.39350180505415167	-0.1443940056987195
10	-0.3060344827586206	0.6894409937888198	1.0808823529411764	-0.15194346289752655	-0.14439400569871957
11	-0.23394495412844046	0.6946107784431139	0.6537102473498232	-0.0384615384615384	-0.47111111111111115
12	-0.4223300970873787	1.2100840336134453	0.7110266159695818	-0.1111111111111111	-0.2975
13	-0.04347826086956525	0.6875000000000001	0.4276094276094276	0.26886792452830177	-0.39033457249070636
14	0.005617977528089893	0.4134078212290501	0.7549407114624509	0.12162162162162161	-0.36345381526104426
15	0.4117647058823529	0.37916666666666676	0.2447129909365559	-0.23543689320388353	0.1174603174603175
16	-0.03703703703703707	3.567307692307692	-0.15789473684210525	-0.42500000000000004	-0.5217391304347825
17	0.3919999999999999	2.4482758620689657	0.25000000000000006	-0.49333333333333335	-0.3815789473684211
18	0.4844444444444445	2.41317365269461	0.3157894736842106	-0.41	-0.5141242937853108
19	-0.052083333333333266	1.0274725274725274	0.22493224932249312	-0.04867256637168137	-0.46744186046511627
20	0.2903389830508475	0.5237094443714698	0.2758620689655173	0.5337837837837838	-0.49779735682819387
21	0.7241379310344829	0.1499999999999999	0.2	0.30434782608695665	-0.3555555555555556
22	0.585714285714286	0.4234234234234234	0.29746835443037956	0.49268292682926845	-0.3464052287581699
23	0.4124999999999998	0.8318584070796461	-0.4033816425120772	-0.3700404858299595	-0.794344473007712
24	0.2933333333333333	0.8041237113402062	-0.2942857142857142	0.20647773279352216	0.25503355704697994
25	0.3400000000000001	0.203731343283582	0.07873527588344699	-0.06896551724137924	0.40123456790123446
26	-0.2711864406779661	0.8720930232558141	0.3478260869565216	-0.45161290322580644	-0.2184873949579831
27	-0.17578125000000006	0.7061611374407585	0.23888888888888885	-0.07174887892376688	-0.2657004830917874
28	-0.2500000000000001	0.32440476190476203	-0.10112359550561802	0.15999999999999992	-0.14439400569871955
29	-0.25252525252525254	0.5635135135135135	0.14952463267070012	0.30075187969924805	-0.14439400569871957
30	-0.40625000000000006	1.2456140350877196	-0.04218750000000004	0.22349102773246332	-0.1443940056987197
31	0.9666666666666667	1.0	0.18644067796610167	-0.3142857142857143	0.09375000000000008
32	0.0	0.8600000000000001	0.23655913978494608	-0.05217391304347812	0.1238532110091743
33	2.6249999999999996	0.37931034482758635	-0.018750000000000017	0.0031847133757961104	-0.009523809523809462
34	2.046511627906977	0.026717557251908334	0.05576208178438659	-0.12147887323943654	-0.23046092184368744
35	1.6022727272727275	0.1441048034934498	-0.10687022900763368	-0.39316239316239315	0.267605633802817
36	0.923076923076923	0.030000000000000027	0.5728155339805826	-0.03703703703703707	0.0
37	0.07936507936507943	0.9117647058823529	-0.030769230769230795	0.0	0.13492063492063486
38	0.5967741935483871	1.2373737373737372	0.21444695259593685	0.018587360594795637	-0.22810218978102187
39	1.3448275862068968	0.5624999999999999	-0.07294117647058825	-0.3807106598984772	0.23770491803278693
40	0.9444444444444444	0.657142857142857	0.3563218390804597	0.11440677966101696	0.15969581749049427
41	0.6170212765957448	0.7105263157894737	0.923076923076923	-0.20800000000000002	-0.025252525252525276
42	0.3769230769230769	0.18435754189944137	1.3018867924528301	-0.13114754098360648	0.31603773584905653
43	0.6511627906976744	0.8873239436619721	1.0746268656716416	-0.5323741007194244	0.4
44	0.47058823529411753	0.79	0.4469273743016759	-0.2548262548262548	0.0
45	0.16666666666666666	0.43956043956043955	0.5381679389312978	-0.1364764267990075	0.17241379310344832
46	0.29565217391304355	1.4563758389261745	0.256830601092896	-0.6391304347826087	0.4457831325301205
47	-0.021126760563380302	1.4136690647482015	0.3353204172876305	-0.78125	0.7448979591836735
48	0.30373831775700927	1.7096774193548385	0.17989417989417994	-0.5919282511210762	0.7692307692307693
49	0.6249999999999999	1.184065934065934	0.12201257861635217	-0.28251121076233177	0.79375
50	0.684931506849315	0.43089430894308944	0.1534090909090908	0.2561576354679803	-0.16470588235294115
51	-0.20634920634920637	0.020000000000000018	0.8823529411764705	-0.18749999999999994	0.11538461538461534
52	0.49999999999999983	0.6239316239316239	0.18421052631578952	-0.062222222222222276	-0.14218009478672977
53	0.12121212121212115	1.1216216216216217	0.19745222929936293	-0.41489361702127653	0.14545454545454536
54	0.26562500000000006	1.419753086419753	-0.05102040816326524	-0.14516129032258066	0.11320754716981128
55	0.0	1.9787234042553192	0.0714285714285715	0.06666666666666672	0.13124999999999998
56	0.2	1.1600000000000001	0.4074074074074072	0.19736842105263167	0.22710622710622716
57	0.18309859154929578	1.1904761904761905	-0.13043478260869565	0.26249999999999996	0.23267326732673277
58	-0.1764705882352941	-0.39285714285714285	2.617647058823529	-0.12195121951219505	0.3240740740740739
59	0.18749999999999994	0.4887218045112781	0.46464646464646464	0.08965517241379319	0.36075949367088594
