Experiment	Average DO concentration gradient d0	Average DO concentration gradient d1	Average DO concentration gradient dd0	Average DO concentration gradient dd1	Average DO concentration gradient dd2	Average DO concentration gradient dd3	Average DO concentration gradient dd4	Average DO concentration gradient dd5	Average DO concentration gradient dd6	Average DO concentration gradient dd7
0	139.1262063097353	-7.230151138853085	1.722996015936288	1.334571377282952	-1.160427896518004	-1.380013217373655	2.326476924602223	-3.841011947736678	-9.527716450150626	-1.330997378059737
1	-42.06791722358365	-3.352800269127588	1.342433448584173	0.3270863190548202	-1.047309234123756	-0.4980446608223843	-0.5222834884459376	-8.77092545406057	-12.2465633362794	-1.712621884722239
2	-98.56046153846147	1.613414414414667	2.758746010637862	-3.117929551042995	2.062029550476074	2.836885138888043	-3.832449159523294	-9.328510912938357	-2.89010841390682	-3.231224391465593
3	120.3627177432132	-6.314443453971191	0.8663803545660167	0.4468007206191242	-1.076933290304893	-0.8150761717841725	-0.1155378240165944	-13.03009544750804	-9.470769714171817	-0.3199156209762942
4	128.1037575473991	-9.176986922906393	0.2904041803948146	2.417361315287126	-1.774980952020652	-1.015254536982939	1.670943954288298	1.757993561977656	-12.19719338069103	1.563706247817621
5	210.9141613479984	-5.69882286063398	-0.07897301787880201	-0.2039295239548116	-1.239214661909451	0.9750951494824793	-0.5498673803921481	-11.87334878370021	-8.510432165055954	-0.6390231669891129
6	-355.0014893617022	-7.505651569110458	-0.714055162059742	-0.1465760067235427	-1.609695607646339	-4.231913413828318	-1.290746153217136	-4.454354347875814	-9.439120453033894	-1.575222378982988
7	121.7964136209435	-8.065720607761897	-0.4696235712010222	-0.9542858743350036	-2.083300722149002	-2.286150235308679	-1.924751340025006	-11.98947006577929	-8.553277707714711	-1.623922609205383
8	-39.0967441860465	-7.211805806512325	-1.312434507597661	3.151087856587862	-80.06872483967783	0.9450936131379013	3.472525562251453	0.02273333333333305	-4.76651383802184	-0.01348246606334227
9	-25.12611111111111	-6.678775939849627	-0.1648097238895643	-0.7959978015088379	-1.392286013226095	-1.233716148490317	-1.347309841137449	0.1833599536651133	-2.382889740821194	-5.007596211005231
10	-339.4256567993351	-8.340886007545933	-0.2933272869221306	-0.8494252515491102	-2.0048521955883	-1.586730519617237	-1.250096668396934	-12.73333441778633	-13.58562942234087	-0.9872682790348563
11	-53.61299999999997	-6.493421350433816	0.3806896265560153	-0.6724350918790776	-1.23830152143845	-1.469155790267823	-5.066950475683243	-1.30363070539422	-7.419654309620519	0.7440362644233484
12	109.9220833333333	-6.694498786030919	0.4596746887966804	0.01736988737403998	-1.326855232826186	-1.407886442033681	-4.093864462345242	-0.4282987551867197	-6.891264545392642	-0.3707305088447276
13	108.0182653061224	-10.75960964539491	0.5442768227624536	-0.03109219652003146	-1.789017266262235	-1.771972008352434	-9.264902003072429	-1.860772299516724	-9.193234870267203	-0.4648580338734632
14	0.7753846153849847	69.65091772248805	0.06776182572614066	-0.09278186129223967	-1.30403088981097	-1.083306676725763	-3.215741731028557	-2.205754767858211	-6.220281841307786	0.07753693520367563
15	162.3966666666666	-8.405643634143653	-5.797063393828196	-7.135544920646206	1.08170723966292	-0.5788854363201911	-12.86999280852763	-2.56116249354979	-12.2766204893399	0.63119930010181
16	0.7835470805682406	-0.04348463100206394	-0.8362202941586805	-1.433052054276831	12.88012098860789	-2.004641589184624	-1.617429573936916	1.175399321216801	-11.57295881137496	7.25272880260143
17	-2.000521212121208	-0.3079802487728766	-0.659208689020897	-1.109578558265363	14.37430593892994	-2.904575591795497	-1.354097933314498	0.652785069838831	-27.84078592205648	5.27931376439606
18	-0.3487802197802268	-7.112968998311935	-1.357969697795186	-1.798266377109432	12.7484231355709	-2.636058379047856	-0.967926138277798	0.9032980461712584	-7.898257359368904	9.60567503967333
19	-33.18188524590164	-3.227426061622675	-0.3330791598119852	-0.3019479441719922	-0.9730114107883371	-1.12896474256667	-6.128570266951811	-3.513434685159915	-7.055514245104244	0.9338105728568935
20	-15.35157262676327	-4.253360995850631	0.4080489626556019	-0.1391641967990557	-1.397169663439374	-1.366944641230646	-18.43511517279025	-2.992121335232766	-13.85351414910026	0.1730268693961801
21	133.8335792349726	-4.53185186721993	0.503964315352697	-0.06383046828689964	-1.516147994467495	-1.274957751791776	-3.091125946865345	-4.754224047225125	-4.607094906404914	-0.5635480805501288
22	128.7166557377048	-7.048695386868432	0.3844557143588805	-0.2282623602222485	-1.951578337387245	-1.499998868351559	-0.5556854900198129	-2.666840439966518	-2.958653081424605	0.05418912426294401
23	113.138954098361	-7.730302700496589	-0.8843746874384263	-1.32993242442205	-2.354035846012247	-2.13598652657805	-7.675298804618029	-3.293845796097476	-5.647220308609366	2.927228793913772
24	-38.95738095238097	-5.089345456024729	-0.4060282157676332	-1.101033195020746	-2.096244352236052	-1.507986043002639	-8.389292583700946	2.975667845167661	-3.295431105794627	0.08401909294020574
25	155.588440441251	-4.775310405362286	-0.07962987551867158	-0.2793157135125356	-3.071088183823451	-2.214132692265499	-1.55556380917381	-3.435819811990359	-2.633018568570775	-0.3427011756570806
26	139.3484615384615	-4.049770059325814	0.1791435684647291	-0.6363728512151754	-1.695781927155372	-1.37563560920408	-8.72819931232092	3.955200627177827	-2.988335788105314	0.04318803232146554
27	143.745712484237	-4.518033113660412	0.2065336099585069	-0.6982003556609353	-1.79886030428769	-1.763960015088635	-13.84234129553116	-6.765119927789969	-14.59946911280889	0.05428910391113587
28	-1.875654653415561	-2.374786082226636	-1.963589571838005	-2.611827609579261	7.390816279682277	-4.121784619892528	1.801828983945049	-0.4083708847942577	-3.601877304363406	0.6582513687634606
29	-1.015773211606034	-0.0629385053011474	-0.0419920392801616	0.1642982682353545	0.4060130895581668	0.05843012325959136	1.105473191919367	-0.05605210071278172	-2.733147292201194	0.1719554104490728
30	0.3979075060257832	-0.09734584225574984	0.06364263578517924	0.04372275468657881	-0.4350166671549676	0.03319717445329765	0.7729315957170275	-0.0359791015612582	-14.95373191451775	0.1638362137243243
31	238.5584363177807	-7.198628965272574	0.3691175106326578	-0.2937837386221255	-6.255448231064926	8.499586901855265	3.424115488120308	0.7014312595330342	-2.683958905479381	-2.975706999736443
32	148.478774590164	-5.868903173631433	-0.6629120331950198	-1.331752222880854	-2.142165514061781	-1.529587702753675	-9.249835049460692	-2.447668410607981	-13.81049427956346	-0.02582980322986194
33	142.8023382382592	-3.964001244813288	0.047017427385892	0.09152400711321845	-0.6492830797602531	-0.5052957374575676	-22.65311806845546	-1.041181189488237	-4.697427485646485	-0.4264417995195453
34	145.1127563858177	-12.3618928484258	-0.04474439834025085	0.04337403675162731	-0.9175334255417209	-0.9098155413051605	-4.525179027849349	-1.955399332491443	-7.210884836415228	-0.3868041056999273
35	122.3200650606647	-4.68577943210477	0.2192904564315343	0.08320865441612192	-0.7568303365606276	-0.8609494530365837	-16.6662990107649	-2.79910420313297	-6.749150182036895	-6.508570640939471
36	-21.49846153846153	-3.481149465877992	-0.1714580912863042	-0.138521636040309	-1.048651913324117	-0.8634639758581714	-8.489781515929467	-2.203779178192189	-14.70459056871676	0.7984452937322523
37	-19.31894260282376	-5.581580831502737	0.01217095435684921	-0.0477273266152925	-1.367240663900418	-0.9334077706525854	-25.93377878758071	-2.317217802835871	-13.5618345733711	0.142566280847349
38	177.9932352941177	-5.481798796992482	-0.07998439375750883	-0.7891152239304825	-1.25830435519417	5.261425799406402	-24.75911655304507	-9.845169080395353	-7.439752402000065	0.2812437487469804
39	195.79609375	-4.434043499637616	-0.3240906084656068	-0.9321653740690454	-1.012710947286609	-1.031530804448866	-52.09702765277335	-4.199877346001505	-38.29151313980636	-1.705958161555322
40	150.4447133575498	-6.173940399849141	-0.7409311203319506	-0.7589899229401306	-1.794339326878746	-0.779473029045645	0.6498690879904013	-28.23056131340947	-6.958209781284609	-0.318858702773535
41	165.8036733248336	-5.6969001708567	-0.6885062240663903	-0.329320687611144	-1.132879207007837	-0.8539400226329693	0.7614209579815915	-3.964463014534841	-5.705019294921207	-0.2242999529453411
42	-5.017134630961065	-0.9735292636156619	-13.02282211233045	-16.64070296001609	3.343417771477853	-18.30430990250555	0.02533305673855582	-0.8357198329828958	-0.2971432076910923	0.6028611845717906
43	-4.336988756084489	-8.0804847934364	-17.86074149840816	-9.30349686033236	-4.593178776921762	-19.92342562474108	-20.50907675803223	-5.422830626706411	-30.13367820547696	-15.3737572461292
44	-7.093491506199475	-1.12934266502679	-12.51638700719536	-15.65728214858509	1.636482258869489	-16.84111416669795	-0.3727573040876704	-0.398241812393111	0.5800663849599091	0.0004578411281135347
45	-1.350149933111128	-0.6144888721237568	-4.615646951454602	-6.389531930110939	-0.4279588701312411	-5.555962439326915	-0.832689107378282	-3.802325272893837	0.02076148550034414	-6.640204195626647
46	-0.5648543719652678	-1.835248484263276	-2.548137494507047	-3.31401927056923	1.260202316644577	0.3167137248730473	0.4805841667924999	0.01253141713153669	-0.2773881858781462	-0.6194453502869142
47	-3.239285852591178	-0.9612216236836949	-4.406611808323817	-4.919178639656211	0.240531113792514	-3.641335088929103	-0.1398734906814896	0.07467876780739399	-0.06910279133899902	-0.0244334211220809
48	-3.648152130187473	-2.004073930036657	-6.941646343611501	-6.766007803288702	0.2639027935518893	-8.02231465254588	0.7698252968979913	-7.725738922879078	0.08341297285446302	-7.738517521938188
49	-3.315869423309471	-1.252067686466529	-4.399168503263841	-5.75599104513835	0.7476446088264024	-5.636788468730741	-0.1713261016400888	-0.8625321909951215	-0.05208263817571487	-1.530122946297214
50	-7.951396748487556	-3.63279858379257	-7.424659118162938	-6.723601798305895	-1.799890647186227	-4.350136823076944	-4.828554884745939	-0.8797569761553358	-4.452938810643924	-1.326586299445525
51	-4.399808780037973	-1.180021127675133	-5.278452861767001	-5.890861768535905	-0.1000407616525876	-4.850835602116491	-4.791220997345534	-1.259111944111881	-6.379033540740495	-1.623985903538617
52	-3.87582070668168	-0.8412991443758309	-4.685424037291103	-6.565831047447421	0.4765613813735527	-5.274658687781336	-5.293812132296893	-1.004017282012104	-4.271562435135396	-0.9000678489099633
53	-5.58171810546722	-1.355358461921219	-7.139152782955577	-9.389389319172645	0.2737291394961833	-8.684803245846476	-4.371548352684368	-3.668296006372201	-6.699498874047788	-2.26517145740557
54	-7.535430981585142	-2.970743428184628	-28.32906308964855	-31.62845710588775	1.881755641536372	-23.40253630482121	-11.7475550651141	-18.43282237937048	-25.74595467015207	-6.070380594455061
55	-3.531906455800641	-0.04468796847732064	-3.195829104097841	-3.945476353417188	0.1384820033163705	-3.386821777126397	0.007288295148928222	-0.09920906510371247	-0.5643016132550346	-0.1120237598880237
56	-2.746885403238801	-0.3692135560085667	-4.806738163051659	-5.039519218163946	0.4799659728241231	-6.713913813749621	0.6181393917287578	-8.68531258566472	0.4653423015026363	-8.455126526913068
57	-3.272866186412658	-0.8291440051210077	-5.308755994101304	-6.464978769549544	0.6150828729280955	-5.650044906261955	-1.149448824343011	-0.5385352639270103	-8.887020193025014	-0.05317928769014996
58	0.03872351307919877	-0.0009455394190875343	0.0153202438628652	-0.01673418555461965	0.0001875840507605487	0.003057399723374601	1.677040111096317e-05	0.0229529352585888	-0.0006331557230245952	0.0325031873711002
59	-2.548702412832637	-0.6415597762481664	-3.522717000993159	-2.346231487741991	0.7436563067071761	-2.345160053573239	-0.5532494813277965	-0.3327813403746491	0.4866376324543542	0.04940387275244461
