Experiment	dd0 Average of 2nd derivative DO	dd1 Average of 2nd derivative DO	dd2 Average of 2nd derivative DO	dd3 Average of 2nd derivative DO	dd5 Average of 2nd derivative DO	dd7 Average of 2nd derivative DO
0	53.56333091267645	-65.5832194192615	-88.23497912312149	-43.32892897771508	39.60602043654168	-384.1950768431669
1	-4.180727609870312	2.388758938279703	26.88962824301063	2.473982606600827	-0.9865189035655959	-0.2177873912704658
2	-21.34736322039869	-130.1593896210404	-219.2698443806075	-164.5453713955764	-237.2511850126072	241.17846746892
3	60.34482218167248	151.3772332043771	-97.10421396475068	6.138381811965375	-7.501429232882196	-6.322409345512515
4	112.5087102368433	-121.9438186781129	74.25138090954384	-212.0967958367778	36.69398078828253	-81.89077040269086
5	45.9968058346623	-9.739119306493244	3.842239771232685	-48.03451697184207	0.4907422768572192	-0.3045093024402369
6	-6.466749264020056	-6.136306111887927	10.4125791468515	-5.891795319469506	-10.5351638798071	-14.78519396131173
7	-383.7745395160311	-73.36479698135689	5.627475076976963	-167.8342148522636	-314.3165576827643	207.0396364808031
8	1.201598369908258	3.494611968254706	-7.709259716218253	0.06248052268245521	25.47785554293302	2.29105656473457
9	-12.5863523302968	159.6498890286333	-153.6519492135065	-59.90762990025469	40.57627122402425	39.1493694316894
10	29.8858978197084	106.2730935910911	200.8387556220708	2.709815404037809	-0.1172972125921778	85.12366840308412
11	-272.2011054036274	1.414117346160835	-367.972436245752	1.270039949756336	5.404864588515999	0.01805369160989137
12	-7.573381772701604	-9.348678206402608	231.5709297468901	-9.622770486306562	-0.03594905175585928	0.03681124205748307
13	-302.3456352955187	-76.10493264583467	-275.6008187629888	-54.6506582051084	0.6180462476522023	0.1379682576918013
14	-335.1447535523502	8.567212353237387	-56.04783047868657	5.06728498857394	1.737127328765771	0.04493347652419161
15	-100.6084725315455	-114.7083874630203	-156.234659783515	-35.60178864616125	1810.39702785946	4.267483620456072
16	-18.61818769565417	57.01620419414744	-15.98052543480786	-0.4627752010140097	-16.68802288964406	-0.01406542579111562
17	10.07629889625556	-2.430028234289428	-12.682381929589	-0.1786692947413882	-53.94514191788163	-0.002525467093228403
18	27.93855109830913	-27.82882296239416	7.91853856289257	-0.3302256616152303	-51.49396290148513	-0.4504975027309033
19	-377.344324948022	-72.78990694534231	-717.8779082313779	-93.25180617552655	-5.976463418762354	-727.0881687571448
20	-174.0768082784779	46.98976427633563	0.01086414877501111	-126.6753159268861	0.08498224462441338	-113.713067791504
21	-305.3981229063989	-366.1287895484779	-0.03001395680121419	-256.8712366767733	0.2334755126465087	-222.4157863313389
22	-210.4737569036817	-495.6429553096249	0.02843463223713122	-1403.967041748615	0.2707504928440623	13.62899727574588
23	-314.0021681315395	66.73529585157007	-393.9426539631915	-392.7727100997345	-62.92408816193185	-27.02030445932252
24	-116.8201656590052	-503.0010688243114	0.1697611592518193	-464.5121032378371	2.308745514680529	-474.9736599584581
25	-494.5622559573263	-84.54040867042579	-161.8684554494431	-41.46971640911131	-23.9914267353394	-5.54575876392343
26	-475.5925124072854	8.096565020269377	569.3645998320183	-949.5917054264487	5.836639633690437	-0.03411806356548072
27	-118.2551619128016	-137.7717372865455	0.09205100420093999	-124.6497073337371	10.77989121258277	0.09192877188742687
28	-245.4911613930184	-10.42551360700269	-357.9053260758703	-3.003691682453421	-95.95064039633152	-25.00704235549544
29	-473.0345753018258	7.364391678746087	-467.7756478784459	0.0005603777645145808	-0.02243279608065115	7.87082970984144
30	-20.58820530706547	2.368871876700758	-127.550588591467	0.03181500114776747	8.576040902619667	3.794527473053516
31	-737.4308875743172	-44.95435199985769	-574.7570797368944	-88.65942379138838	337.1162291523168	281.5936673469984
32	-241.5651276310629	14.78623654262746	-126.6218502415798	-3.687991263266911	-26.77297729497671	-0.2911115432786581
33	-479.0196630686367	13.07844627288973	-153.0180334241805	3.338657330894281	-6.042446036478742	-2.112472169835105
34	-408.0685917425935	-548.7229217898695	-481.6074028531488	-4.336764380923031	3.257885312240927	20.84094667234027
35	-382.9885634571623	-498.2267680922136	-373.9254515772829	-490.2396554885378	2.985992134740146	-27.4688616962917
36	-296.984454197907	15.40947985450713	-358.0984278596745	-13.89446267128468	-4.829763765982301	-5.16732096298844
37	-322.7323106679642	-3.781500876515479	-406.1473881625165	-8.941622543706803	-1.664716574584912	-5.780480556440755
38	-2114.510150152601	5.567149151291869	0.1413615498455034	-42.11948574399256	-2.579527313821719	-1.547621719472409
39	1270.218387034729	1.701194717425187	-0.2037532989392697	-40.85193511515659	-12.21229233502634	0.443181232824699
40	-344.2083301812169	-282.677582008326	-357.100665306116	-3.11589816051309	0.04721681789212799	-0.04844897642873933
41	-331.6021104447761	3.806722835290719	-234.9395368437014	-10.65389078939928	-408.3514839404204	-13.3148520801786
42	-4.59608916097089	-3.807725783941259	51.79999162615952	-40.8922698827194	-4.369020113777108	2.032590104059678
43	82.52176350491293	1.590650741926126	-104.2754818072766	31.46271632753556	-17.94900987103619	12.68176449515398
44	48.97729465439081	-4.880352506721637	-2.502535960188559	-40.85451189704531	-2.979247689510437	-0.1193731861479895
45	-9.958576653657001	-5.393976554390231	0.1194909766185365	-9.441916391939058	-0.3426254967294955	-5.84548531941422
46	-30.13722378549331	26.72446736200697	13.23926821345941	8.308125405935732	38.46679178363966	-18.58230076246984
47	0.9108016342657395	-11.43767079644884	0.04092860781540557	2.158597274287492	5.64074811007662	1.572922746645124
48	2.208687190692641	1.520939684406307	6.704877867594009	6.357411807743812	-16.46875339027966	-28.55189005809182
49	2.839375731723541	-5.638753049136157	-0.1236698834004246	1.953931598646658	-1.175791445269691	-4.561763424648109
50	-92.2042957999414	-12.62839613476472	-4.645859490082779	-7.4439805287989	-9.565769410427013	4.040723365276335
51	3.915999669872364	1.711217147290747	4.604269395627682	2.672814506133572	0.4321485823817577	-4.337574772454635
52	2.816702296154659	-0.7087493265448667	-0.1622663061941716	-8.924800841934209	1.956833592005779	-0.6443842130684883
53	-31.27109991405484	-65.48597425550116	17.96933466909519	-35.76673064898715	-55.2896351670074	-56.87924652230769
54	-10.89322966895233	-75.57264229998115	119.9485657614437	-26.97877318229582	-85.57092424507066	87.8158204923909
55	2.566091716956697	1.784102289769882	0.4014476167376665	2.288659187406124	-0.1153350568342155	0.2103831240699798
56	-38.16393088354972	-50.49107610379714	4.311250293999779	-38.11916149222343	-51.0131110161214	-3.208867129827966
57	-10.54708037194938	-4.502007637522804	-7.536935191780488	-15.25548992230279	9.934738449200987	0.05441727931744601
58	-0.1410079814438458	0.07785455898941933	0.05859471997299467	0.05073190458148849	-0.2648405868263245	-0.1986102148430767
59	-4.093024059036266	0.4457996456371756	-0.00688090744335724	0.9143016905711031	-0.8036830652945584	-0.2682979588844683
