Experiment	DO concentration/cell count dd0	DO concentration/cell count dd1	DO concentration/cell count dd2	DO concentration/cell count dd3	DO concentration/cell count dd5	DO concentration/cell count dd7
0	103.43662166839736	87.0672824796291	75.31602204985064	49.66358196375894	44.23172542731915	27.298763017087616
1	96.1324340175953	79.54505455966007	61.67884569221814	51.21845062093436	34.69385705947252	28.348269531515605
2	94.90687903418599	88.89090421055683	79.44770583058732	77.51459809323887	45.49188248440721	26.816914021164017
3	80.475795148248	66.50317084329085	75.09323075652014	95.74440875912407	70.99764775863366	41.92704219899342
4	134.83419614610295	92.74215438033045	41.927675324950215	24.649133076317543	39.232336099458	36.53562466576165
5	227.3345528455285	202.59526269328563	99.50365997560782	71.91009455248737	108.1942495994303	91.16203605514319
6	84.8899387576553	104.97002742297664	44.24447971807242	23.584278462654098	38.810467960947136	23.728155087171483
7	106.52637288135594	242.1176916454088	62.82419260760133	27.776284026707756	60.78895783611776	52.21952957947256
8	98.61555432984005	65.87830687830686	42.029444891391805	26.081481068421343	34.59740083950344	53.635299744897964
9	65.93811846689897	63.468253968253975	28.646345953734087	16.048301397759882	49.784315852398116	63.504822451317295
10	70.50653095843937	63.322309468822176	28.022275258552106	15.684180483827122	31.268908540390452	23.856244963738916
11	68.11127965367966	57.96861798941799	30.10590126744587	18.485076405076406	35.83266666666667	28.749928053413154
12	86.27994256410256	77.29191722762404	37.27035063113604	23.47111914323962	39.069086637298085	25.71631641381033
13	79.32918650793651	63.90599811187787	38.487221563090074	27.12806112421384	28.68537571729681	13.356160837551776
14	83.41103267973855	71.02195767195767	39.569107816568355	25.770051870051866	32.847630230666056	24.974850730791477
15	69.7608869179601	49.35570344424985	35.65968871863891	32.56315701372615	35.37130863139859	9.80991327751196
16	152.26929674099486	51.68135537461961	36.68550857142858	30.66444047619048	51.76028616852146	83.10963924963926
17	139.09759805411977	49.874383368569426	30.344440137812235	20.692540229885058	31.36840882694541	67.65935776201734
18	128.32081097197374	43.64948857113036	25.394443009641876	15.293911111111113	20.99729906909663	72.79822625147813
